3 16 16 16 
(0,0)
(0.84147098,0)
(0.90929743,0)
(0.14112001,0)
(-0.7568025,0)
(-0.95892427,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(0.84147098,0)
(0.90929743,0)
(0.14112001,0)
(-0.7568025,0)
(-0.95892427,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(0.90929743,0)
(0.14112001,0)
(-0.7568025,0)
(-0.95892427,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(-0.96139749,0)
(0.14112001,0)
(-0.7568025,0)
(-0.95892427,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(-0.96139749,0)
(-0.75098725,0)
(-0.7568025,0)
(-0.95892427,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(-0.96139749,0)
(-0.75098725,0)
(0.14987721,0)
(-0.95892427,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(-0.96139749,0)
(-0.75098725,0)
(0.14987721,0)
(0.91294525,0)
(-0.2794155,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(-0.96139749,0)
(-0.75098725,0)
(0.14987721,0)
(0.91294525,0)
(0.83665564,0)
(0.6569866,0)
(0.98935825,0)
(0.41211849,0)
(-0.54402111,0)
(-0.99999021,0)
(-0.53657292,0)
(0.42016704,0)
(0.99060736,0)
(0.65028784,0)
(-0.28790332,0)
(-0.96139749,0)
(-0.75098725,0)
(0.14987721,0)
(0.91294525,0)
(0.83665564,0)
(-0.0088513093,0)
(0.98935825,0)
