3 16 16 16 
(-4.2813605,0)
(-5.5765024,2.2397337)
(-15.740984,9.5167101)
(21.279086,-13.158811)
(7.7976649,-4.1550161)
(5.495434,-2.2471388)
(4.6500593,-1.2725816)
(4.293984,-0.58675146)
(4.1927232,0)
(4.293984,0.58675146)
(4.6500593,1.2725816)
(5.495434,2.2471388)
(7.7976649,4.1550161)
(21.279086,13.158811)
(-15.740984,-9.5167101)
(-5.5765024,-2.2397337)
(-5.5765024,2.2397337)
(-9.1443644,4.5701031)
(-27.916518,12.349981)
(37.023907,-12.079705)
(12.706344,-2.4220067)
(8.2218541,-0.39496943)
(6.3296787,0.62888679)
(5.2859938,1.341053)
(4.6382339,1.9432198)
(4.2345954,2.5383002)
(4.0493432,3.2255478)
(4.1952122,4.1902435)
(5.2609819,6.0561675)
(13.444669,14.770418)
(-10.863551,-7.0685538)
(-5.1309917,2.942091e-15)
(-15.740984,9.5167101)
(-27.916518,12.349981)
(-84.257712,22.440977)
(106.36987,-9.7981673)
(34.109373,2.8219516)
(20.359724,5.4136846)
(14.267828,6.6884044)
(10.65369,7.5499589)
(8.1346735,8.2568117)
(6.1862601,8.9335543)
(4.5785998,9.6892286)
(3.250376,10.712573)
(2.4737582,12.61973)
(6.1808299,21.231104)
(-11.799033,-5.0029425e-15)
(-10.863551,7.0685538)
(21.279086,-13.158811)
(37.023907,-12.079705)
(106.36987,-9.7981673)
(-126.04533,-15.80839)
(-37.480134,-13.171475)
(-20.406629,-12.498741)
(-12.695038,-12.087136)
(-7.9975224,-11.748374)
(-4.5997135,-11.416742)
(-1.8203806,-11.043478)
(0.7023157,-10.558315)
(3.2505678,-9.7991318)
(6.2626181,-8.1798301)
(12.486649,-4.4408921e-16)
(6.1808299,-21.231104)
(13.444669,-14.770418)
(7.7976649,-4.1550161)
(12.706344,-2.4220067)
(34.109373,2.8219516)
(-37.480134,-13.171475)
(-10.169529,-6.7418717)
(-4.8902112,-5.3434676)
(-2.4962576,-4.6076916)
(-1.0302652,-4.0743961)
(0.037707026,-3.6049418)
(0.92022438,-3.1223413)
(1.7340805,-2.5428183)
(2.579767,-1.6972914)
(3.6426488,0)
(6.2626181,8.1798301)
(2.4737582,-12.61973)
(5.2609819,-6.0561675)
(5.495434,-2.2471388)
(8.2218541,-0.39496943)
(20.359724,5.4136846)
(-20.406629,-12.498741)
(-4.8902112,-5.3434676)
(-1.9076017,-3.8078222)
(-0.56610222,-3.0117968)
(0.24645133,-2.4432207)
(0.82964234,-1.9496445)
(1.3013258,-1.4489585)
(1.7217726,-0.85538147)
(2.1323532,-2.220446e-15)
(2.579767,1.6972914)
(3.2505678,9.7991318)
(3.250376,-10.712573)
(4.1952122,-4.1902435)
(4.6500593,-1.2725816)
(6.3296787,0.62888679)
(14.267828,6.6884044)
(-12.695038,-12.087136)
(-2.4962576,-4.6076916)
(-0.56610222,-3.0117968)
(0.28212466,-2.1900293)
(0.77956831,-1.6069742)
(1.1204394,-1.104107)
(1.3769564,-0.59721349)
(1.5777755,6.5919492e-16)
(1.7217726,0.85538147)
(1.7340805,2.5428183)
(0.7023157,10.558315)
(4.5785998,-9.6892286)
(4.0493432,-3.2255478)
(4.293984,-0.58675146)
(5.2859938,1.341053)
(10.65369,7.5499589)
(-7.9975224,-11.748374)
(-1.0302652,-4.0743961)
(0.24645133,-2.4432207)
(0.77956831,-1.6069742)
(1.0687464,-1.0162888)
(1.2429244,-0.5090726)
(1.3441852,-7.7715612e-16)
(1.3769564,0.59721349)
(1.3013258,1.4489585)
(0.92022438,3.1223413)
(-1.8203806,11.043478)
(6.1862601,-8.9335543)
(4.2345954,-2.5383002)
(4.1927232,0)
(4.6382339,1.9432198)
(8.1346735,8.2568117)
(-4.5997135,-11.416742)
(0.037707026,-3.6049418)
(0.82964234,-1.9496445)
(1.1204394,-1.104107)
(1.2429244,-0.5090726)
(1.2777567,0)
(1.2429244,0.5090726)
(1.1204394,1.104107)
(0.82964234,1.9496445)
(0.037707026,3.6049418)
(-4.5997135,11.416742)
(8.1346735,-8.2568117)
(4.6382339,-1.9432198)
(4.293984,0.58675146)
(4.2345954,2.5383002)
(6.1862601,8.9335543)
(-1.8203806,-11.043478)
(0.92022438,-3.1223413)
(1.3013258,-1.4489585)
(1.3769564,-0.59721349)
(1.3441852,7.7715612e-16)
(1.2429244,0.5090726)
(1.0687464,1.0162888)
(0.77956831,1.6069742)
(0.24645133,2.4432207)
(-1.0302652,4.0743961)
(-7.9975224,11.748374)
(10.65369,-7.5499589)
(5.2859938,-1.341053)
(4.6500593,1.2725816)
(4.0493432,3.2255478)
(4.5785998,9.6892286)
(0.7023157,-10.558315)
(1.7340805,-2.5428183)
(1.7217726,-0.85538147)
(1.5777755,-6.5919492e-16)
(1.3769564,0.59721349)
(1.1204394,1.104107)
(0.77956831,1.6069742)
(0.28212466,2.1900293)
(-0.56610222,3.0117968)
(-2.4962576,4.6076916)
(-12.695038,12.087136)
(14.267828,-6.6884044)
(6.3296787,-0.62888679)
(5.495434,2.2471388)
(4.1952122,4.1902435)
(3.250376,10.712573)
(3.2505678,-9.7991318)
(2.579767,-1.6972914)
(2.1323532,2.220446e-15)
(1.7217726,0.85538147)
(1.3013258,1.4489585)
(0.82964234,1.9496445)
(0.24645133,2.4432207)
(-0.56610222,3.0117968)
(-1.9076017,3.8078222)
(-4.8902112,5.3434676)
(-20.406629,12.498741)
(20.359724,-5.4136846)
(8.2218541,0.39496943)
(7.7976649,4.1550161)
(5.2609819,6.0561675)
(2.4737582,12.61973)
(6.2626181,-8.1798301)
(3.6426488,0)
(2.579767,1.6972914)
(1.7340805,2.5428183)
(0.92022438,3.1223413)
(0.037707026,3.6049418)
(-1.0302652,4.0743961)
(-2.4962576,4.6076916)
(-4.8902112,5.3434676)
(-10.169529,6.7418717)
(-37.480134,13.171475)
(34.109373,-2.8219516)
(12.706344,2.4220067)
(21.279086,13.158811)
(13.444669,14.770418)
(6.1808299,21.231104)
(12.486649,4.4408921e-16)
(6.2626181,8.1798301)
(3.2505678,9.7991318)
(0.7023157,10.558315)
(-1.8203806,11.043478)
(-4.5997135,11.416742)
(-7.9975224,11.748374)
(-12.695038,12.087136)
(-20.406629,12.498741)
(-37.480134,13.171475)
(-126.04533,15.80839)
(106.36987,9.7981673)
(37.023907,12.079705)
(-15.740984,-9.5167101)
(-10.863551,-7.0685538)
(-11.799033,5.0029425e-15)
(6.1808299,-21.231104)
(2.4737582,-12.61973)
(3.250376,-10.712573)
(4.5785998,-9.6892286)
(6.1862601,-8.9335543)
(8.1346735,-8.2568117)
(10.65369,-7.5499589)
(14.267828,-6.6884044)
(20.359724,-5.4136846)
(34.109373,-2.8219516)
(106.36987,9.7981673)
(-84.257712,-22.440977)
(-27.916518,-12.349981)
(-5.5765024,-2.2397337)
(-5.1309917,-2.942091e-15)
(-10.863551,7.0685538)
(13.444669,-14.770418)
(5.2609819,-6.0561675)
(4.1952122,-4.1902435)
(4.0493432,-3.2255478)
(4.2345954,-2.5383002)
(4.6382339,-1.9432198)
(5.2859938,-1.341053)
(6.3296787,-0.62888679)
(8.2218541,0.39496943)
(12.706344,2.4220067)
(37.023907,12.079705)
(-27.916518,-12.349981)
(-9.1443644,-4.5701031)
(-5.5765024,2.2397337)
